ts,rot,invx,invy,panx,pany,ks_h,ks_v,pin_x,pin_y,lead,opix,opix_exp,eol,starved,result,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y
1782670050,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,100,-100,100,-100,-100,-100,-100
1782670051,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,100,-100,100,-100,-100,-100,-100
1782670052,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,-100,100,-100,100,-100,-100,-100,-100
1782670061,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11277,FULL,100,100,-100,100,-100,-100,-100,-100
1782670062,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11279,FULL,100,100,-100,100,-100,-100,-100,-100
1782670063,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11288,FULL,100,100,-100,100,-100,-100,-100,-100
1782670064,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11303,FULL,100,100,-100,100,-100,-100,-100,-100
1782670065,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11272,FULL,100,100,-100,100,-100,-100,-100,-100
1782670067,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11277,FULL,100,100,-100,100,-100,-100,-100,-100
1782670075,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,-100,100,100,-100,-100,-100,-100
1782670076,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,-100,100,100,-100,-100,-100,-100
1782670077,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,-100,100,100,-100,-100,-100,-100
1782670078,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,-100,100,100,-100,-100,-100,-100
1782670079,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,-100,100,100,-100,-100,-100,-100
1782670081,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,-100,-100,100,100,-100,-100,-100,-100
1782670090,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,100,-100,100,100,-100,-100,-100,-100
1782670091,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,100,-100,100,100,-100,-100,-100,-100
1782670091,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,100,-100,100,100,-100,-100,-100,-100
1782670093,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,100,-100,100,100,-100,-100,-100,-100
1782670094,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,100,-100,100,100,-100,-100,-100,-100
1782670095,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,100,-100,100,100,-100,-100,-100,-100
1782670104,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,100,100,-100,-100,-100,-100
1782670105,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,100,100,100,-100,-100,-100,-100
1782670106,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,100,100,100,-100,-100,-100,-100
1782670107,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,100,100,100,-100,-100,-100,-100
1782670108,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,100,100,100,-100,-100,-100,-100
1782670109,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,-100,100,100,100,-100,-100,-100,-100
1782670118,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11311,FULL,100,100,100,100,-100,-100,-100,-100
1782670119,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11279,FULL,100,100,100,100,-100,-100,-100,-100
1782670120,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11279,FULL,100,100,100,100,-100,-100,-100,-100
1782670121,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11274,FULL,100,100,100,100,-100,-100,-100,-100
1782670122,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11276,FULL,100,100,100,100,-100,-100,-100,-100
1782670123,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11278,FULL,100,100,100,100,-100,-100,-100,-100
1782670132,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,-100,-100,-100,100,-100,-100,-100
1782670133,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,-100,-100,-100,100,-100,-100,-100
1782670134,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,-100,-100,-100,100,-100,-100,-100
